Episode,Total Reward,Steps,Epsilon
0,6.783333333333294,581,1.0
1,-6.2533333333333365,376,0.995
2,-2.596666666666671,269,0.990025
3,10.716666666666617,727,0.985074875
4,-9.06,156,0.9801495006250001
5,6.156666666666771,511,0.9752487531218751
6,-6.469999999999999,123,0.9703725093562657
7,0.04000000000001869,318,0.9655206468094844
8,1.2933333333334218,440,0.960693043575437
9,-2.636666666666671,287,0.9558895783575597
10,-2.0299999999999994,231,0.9511101304657719
11,7.843333333333421,497,0.946354579813443
12,-5.103333333333335,325,0.9416228069143757
13,-4.350000000000001,213,0.9369146928798039
14,10.486666666666645,538,0.9322301194154049
15,-7.653333333333338,208,0.9275689688183278
16,-7.446666666666666,146,0.9229311239742362
17,3.720000000000054,408,0.918316468354365
18,7.016666666666689,475,0.9137248860125932
19,-1.7666666666666604,266,0.9091562615825302
20,4.3866666666667715,604,0.9046104802746175
21,29.769999999999712,1101,0.9000874278732445
22,-6.1366666666666765,251,0.8955869907338783
23,8.02000000000002,540,0.8911090557802088
24,-4.840000000000006,252,0.8866535105013078
25,4.220000000000054,402,0.8822202429488013
26,12.859999999999982,774,0.8778091417340573
27,6.35333333333336,428,0.8734200960253871
28,-3.863333333333334,277,0.8690529955452602
29,-7.81,117,0.8647077305675338
30,-9.586666666666664,122,0.8603841919146962
31,-1.9366666666666656,239,0.8560822709551227
32,-5.790000000000005,261,0.851801859600347
33,-5.630000000000003,165,0.8475428503023453
34,-5.013333333333335,328,0.8433051360508336
35,2.546666666666738,526,0.8390886103705794
36,10.883333333333328,605,0.8348931673187264
37,54.406666666666325,1516,0.8307187014821328
38,16.956666666666607,697,0.8265651079747222
39,-1.446666666666646,356,0.8224322824348486
40,4.5933333333334545,512,0.8183201210226743
41,3.213333333333395,440,0.8142285204175609
42,-0.4766666666666257,365,0.810157377815473
43,-5.496666666666667,185,0.8061065909263957
44,-2.996666666666666,245,0.8020760579717637
45,29.28333333333297,1169,0.798065677681905
46,16.693333333333143,710,0.7940753492934954
47,10.533333333333298,518,0.7901049725470279
48,23.346666666666493,790,0.7861544476842928
49,6.370000000000072,417,0.7822236754458713
50,-9.070000000000002,135,0.778312557068642
51,-3.000000000000007,228,0.7744209942832988
52,21.249999999999794,1083,0.7705488893118823
53,10.546666666666594,628,0.7666961448653229
54,28.779999999999696,966,0.7628626641409962
55,2.033333333333392,446,0.7590483508202912
56,-3.6233333333333384,271,0.7552531090661897
57,5.686666666666772,592,0.7514768435208588
58,-4.623333333333333,193,0.7477194593032545
59,1.5766666666667355,397,0.7439808620067382
60,8.826666666666654,610,0.7402609576967045
61,-4.920000000000001,264,0.736559652908221
62,19.81666666666643,883,0.7328768546436799
63,-4.93666666666667,305,0.7292124703704616
64,-1.8499999999999712,315,0.7255664080186093
